City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,fort-shevchenko,44.5086,50.263,28.34,57,0,3.99,KZ,1691444872
347,kargasok,59.0556,80.8572,10.24,95,6,2.6,RU,1691444872
348,bandar lampung,-5.4254,105.258,22.53,96,74,0.9,ID,1691444872
349,manokwari,-0.8667,134.0833,25.73,76,81,1.84,ID,1691444872
350,darwin,-12.4611,130.8418,21.61,75,0,3.09,AU,1691444872
351,kuta,-8.7233,115.1723,22.97,94,20,4.12,ID,1691444872
352,luena,-11.7833,19.9167,15.58,42,0,1.83,AO,1691444872
353,camacupa,-12.0167,17.4833,16.78,32,0,1.29,AO,1691444872
354,floro,61.5996,5.0328,11.98,76,100,10.8,NO,1691444873
355,balkanabat,39.5108,54.3671,32.51,30,69,2.64,TM,1691444873
356,viedma,-40.8135,-62.9967,6.32,40,7,4.43,AR,1691444873
357,severo-yeniseyskiy,60.3725,93.0408,10.66,87,100,1.47,RU,1691444873
358,buka,40.8108,69.1986,24.06,33,48,3.39,UZ,1691444873
359,new plymouth,-39.0667,174.0833,10.45,75,100,4.56,NZ,1691444583
360,nabire,-3.3667,135.4833,23.92,86,49,1.89,ID,1691444873
361,northam,51.0333,-4.2167,14.1,92,98,4.62,GB,1691444874
362,san patricio,28.017,-97.5169,38.4,43,0,8.22,US,1691444874
363,guane,22.2025,-84.0875,31.16,66,63,0.71,CU,1691444874
